0010;0020;0030;0040;0050;0055;0060;0065;0070;0075;0080;0090;0100;0110;0120;0130;0140;0150;0160;0170;0180;0190;0200;0205;0210;0220
23;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANIF INTERNATIONAL BANK LTD - LIQUIDATION TRUSTEE ACCOUNT;BANIF INTERNATIONAL BANK LTD - LIQUIDATION TRUSTEE ACCOUNT;549300L5RVCMYDNX9E40;LEI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);177222,1791;0;0;US Dollar;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
24;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);NATEXIS BANQUES POPULAIRES;NATEXIS BANQUES POPULAIRES;3311000078;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);4045,3;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
25;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);UNICREDIT BANK AUSTRIA AG AG;UNICREDIT BANK AUSTRIA AG AG;5100010931;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);370089,62;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
26;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);NOVO BANCO SA;NOVO BANCO SA;5100010962;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);55631934,49;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
27;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);TRASPASOS M E SA;TRASPASOS M E SA;549300I3LZ7O86DJAC23;LEI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);8191,69;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
28;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);CAIXA ECONÓMICA MONTEPIO GERAL CE;CAIXA ECONÓMICA MONTEPIO GERAL CE;2138004FIUXU3B2MR537;LEI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);4019,33;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
29;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);CAIXA GERAL DE DEPOSITOS SA;CAIXA GERAL DE DEPOSITOS SA;5100262724;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);29181,7;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
30;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);CAIXA CREDITO AGRICOLA MUTUO DE LEIRIA CRL S COOP;CAIXA CREDITO AGRICOLA MUTUO DE LEIRIA CRL S COOP;5100262777;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);1025915,57;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
31;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO COMERCIAL PORTUGUES S.A.;BANCO COMERCIAL PORTUGUES S.A.;5100264432;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);7757,84;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
32;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO BILBAO VIZCAYA ARGENTARIA, S.A., SUCURSAL EM PORTUGAL;BANCO BILBAO VIZCAYA ARGENTARIA, S.A., SUCURSAL EM PORTUGAL;5100268594;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);822,52;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
