0010;0020;0030;0040;0050;0055;0060;0065;0070;0075;0080;0090;0100;0110;0120;0130;0140;0150;0160;0170;0180;0190;0200;0205;0210;0220
96;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO CABOVERDIANO DE NEGOCIOS SA;BANCO CABOVERDIANO DE NEGOCIOS SA;8038587453;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);39754,76032;0;0;Pound Sterling;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
97;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO CABOVERDIANO DE NEGOCIOS SA;BANCO CABOVERDIANO DE NEGOCIOS SA;8038587453;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);43204,04608;0;0;Swiss Franc;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
98;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO CABOVERDIANO DE NEGOCIOS SA;BANCO CABOVERDIANO DE NEGOCIOS SA;8038587453;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);1396401,67;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
99;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO CABOVERDIANO DE NEGOCIOS SA;BANCO CABOVERDIANO DE NEGOCIOS SA;8038587453;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);1616086,774;0;0;US Dollar;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
100;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);NOMURA INTERNATIONAL PLC;NOMURA INTERNATIONAL PLC;8042241456;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);1400;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
101;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);CAIXA GERAL DEPOSITOS-CARTEIRA PROPRIA;CAIXA GERAL DEPOSITOS-CARTEIRA PROPRIA;8043692061;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);14814,15;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
102;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);CAIXA GERAL DE DEPOSITOS;CAIXA GERAL DE DEPOSITOS;9000654167;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);46184,36;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
103;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO BPI S.A.;BANCO BPI S.A.;3DM5DPGI3W6OU6GJ4N92;LEI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);5274,98;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
104;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO BILBAO VIZCAYA (PORTUGAL), SA;BANCO BILBAO VIZCAYA (PORTUGAL), SA;9000751619;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);804,8;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
105;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);NOVO BANCO, S.A.;NOVO BANCO, S.A.;9000767417;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);421091,61;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
106;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO BPI S.A.;BANCO BPI S.A.;3DM5DPGI3W6OU6GJ4N92;LEI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);36,62;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
107;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);CAIXA ECONOMICA MONTEPIO GERAL;CAIXA ECONOMICA MONTEPIO GERAL;2138004FIUXU3B2MR537;LEI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);14793,17;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
108;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO COMERCIAL PORTUGUES S.A.;BANCO COMERCIAL PORTUGUES S.A.;9000793375;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);57519,31;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
109;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);WIZINK BANK S.A.U. - SUCURSAL EM PORTUGAL;WIZINK BANK S.A.U. - SUCURSAL EM PORTUGAL;9000934918;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);10726672,12;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
110;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANK AUSTRIA AG;BANK AUSTRIA AG;9000934956;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);4026,44;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
111;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);SKANDINAVISKA ENSKILDA BANKEN;SKANDINAVISKA ENSKILDA BANKEN;9000934958;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);1117745,175;0;0;Swedish Krona;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
112;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO INVEST, S.A.;BANCO INVEST, S.A.;9002006754;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);116,782501;0;0;Pound Sterling;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
113;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO INVEST, S.A.;BANCO INVEST, S.A.;9002006754;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);710710,1801;0;0;US Dollar;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
114;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO INVEST, S.A.;BANCO INVEST, S.A.;9002006754;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);28,293486;0;0;Swiss Franc;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
115;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO INVEST, S.A.;BANCO INVEST, S.A.;9002006754;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);1031847,23;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
116;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO BIC PORTUGUES, S.A.;BANCO BIC PORTUGUES, S.A.;549300QQJ6BNALGU6806;LEI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);1592,26;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
117;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);KBC BANK NV    .                             .;KBC BANK NV    .                             .;9002381066;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);1903232,11;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
