0010;0020;0030;0040;0050;0061;0071;0075;0080;0085;0090;0095;0100;0110;0120;0130;0140;0150
35;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);CQ_BSP_BRPA;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;BARATA & RAMILO S.A.;5493004WQIIB4N47BN20;LEI code;PORTUGAL;FALSE;PORTUGAL;14;395012,06;0;0;395012,06
36;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);00LEX4;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;LOURESHOPPING CENTRO COMERCIAL S.A.;7400930438;Type of identifier, other than LEI or MFI code;PORTUGAL;FALSE;UNITED KINGDOM;2;15963,87;0;0;15963,87
37;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);CQ_BSP_EPCS;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;EUREKA PLAST - COMERCIO DE MATERIAS PLASTICAS S.A.;8046252066;Type of identifier, other than LEI or MFI code;PORTUGAL;FALSE;PORTUGAL;4;6552,63;0;0;6552,63
38;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);CQ_BSP_MTLQ;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;MATEMA - TEXTEIS, LDA.;8045736845;Type of identifier, other than LEI or MFI code;PORTUGAL;FALSE;PORTUGAL;4;22459,18;0;0;22459,18
39;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);00NSL5;ISDA 2002 MA;Yes - ISDA Universal Protocol;Yes - ISDA Universal Protocol;IBERLIM - HIGIENE E SUSTENTABILIDADE AMBIENTAL, S.A.;549300Y51ILA604XG386;LEI code;PORTUGAL;FALSE;PORTUGAL;2;447,99;0;0;447,99
40;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);CQ_9DBU;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;NOVARROZ - PRODUTOS ALIMENTARES SA;54930087HVWD0RRTWK77;LEI code;PORTUGAL;FALSE;PORTUGAL;2;103942,11;0;0;103942,11
41;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);D0HJ;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;CELULOSE BEIRA INDUSTRIAL CELBI S.A.;549300FREK460JU7RG08;LEI code;PORTUGAL;FALSE;PORTUGAL;66;172269,75;0;0;172269,75
42;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);00PRIP;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;PORTUGAL RENEWABLE ENERGY - PTRW UNIPESSOAL LDA;7401366107;Type of identifier, other than LEI or MFI code;PORTUGAL;FALSE;UNITED KINGDOM;2;962742,84;0;0;962742,84
43;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);44VW;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;FABRICA DE TECIDOS DO CARVALHO LDA;549300KRNTZP1JYNSQ50;LEI code;PORTUGAL;FALSE;PORTUGAL;2;4824,56;0;0;4824,56
44;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);Z730;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;RISATEL - SOCIEDADE COMERCIAL DE FIOS TEXTEIS LDA;635400JMHZ23BY12BI90;LEI code;PORTUGAL;FALSE;PORTUGAL;4;3031,55;0;0;3031,55
