0010;0020;0030;0035;0040;0045;0047;0050;0060;0070;0080;0090;0100
87;Rank 9 - Ranking in insolvency (master scale);362304820812140;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;25000;No;0;Default
88;Rank 9 - Ranking in insolvency (master scale);362304820864440;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;19686;No;0;Default
89;Rank 9 - Ranking in insolvency (master scale);362304820908010;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;900000;No;0;Default
90;Rank 9 - Ranking in insolvency (master scale);362304820959710;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;1800000;No;0;Default
91;Rank 9 - Ranking in insolvency (master scale);362304820963130;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;4052,81;No;0;Default
92;Rank 9 - Ranking in insolvency (master scale);962304820028010;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;30000;No;0;Default
93;Rank 9 - Ranking in insolvency (master scale);962304820037810;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;35836,38;No;0;Default
94;Rank 9 - Ranking in insolvency (master scale);962304820043570;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;35450,36;No;0;Default
95;Rank 9 - Ranking in insolvency (master scale);962304820072940;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;120000;No;0;Default
96;Rank 9 - Ranking in insolvency (master scale);962304820111240;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;10000;No;0;Default
97;Rank 9 - Ranking in insolvency (master scale);962304820131600;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;3000;No;0;Default
98;Rank 9 - Ranking in insolvency (master scale);962304820132350;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;15000;No;0;Default
99;Rank 9 - Ranking in insolvency (master scale);962304820139030;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;36226,58;No;0;Default
100;Rank 9 - Ranking in insolvency (master scale);962304820141570;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;78839,1;No;0;Default
101;Rank 9 - Ranking in insolvency (master scale);962304820141970;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;13283,67;No;0;Default
102;Rank 9 - Ranking in insolvency (master scale);962304820143820;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;11900;No;0;Default
103;Rank 9 - Ranking in insolvency (master scale);962304820150010;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;9000;No;0;Default
104;Rank 9 - Ranking in insolvency (master scale);962304820150970;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;18260,41;No;0;Default
105;Rank 9 - Ranking in insolvency (master scale);962304820153890;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;15000;No;0;Default
106;Rank 9 - Ranking in insolvency (master scale);962304820154140;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;374945,01;No;0;Default
107;Rank 9 - Ranking in insolvency (master scale);962304820163410;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;1722035;No;0;Default
108;Rank 9 - Ranking in insolvency (master scale);962304820167570;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;24294,36;No;0;Default
109;Rank 9 - Ranking in insolvency (master scale);962304820174780;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;92769,77;No;0;Default
110;Rank 9 - Ranking in insolvency (master scale);962304820177650;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;71930,92;No;0;Default
111;Rank 9 - Ranking in insolvency (master scale);962304820179730;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;1549800;No;0;Default
112;Rank 9 - Ranking in insolvency (master scale);962304820183710;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;80449,67;No;0;Default
113;Rank 9 - Ranking in insolvency (master scale);962304820183980;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;20847,58;No;0;Default
114;Rank 9 - Ranking in insolvency (master scale);962304820200900;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;20000;No;0;Default
115;Rank 9 - Ranking in insolvency (master scale);962304820201320;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;40690,44;No;0;Default
116;Rank 9 - Ranking in insolvency (master scale);962304820205570;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;120175,08;No;0;Default
117;Rank 9 - Ranking in insolvency (master scale);962304820211210;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;34505,12;No;0;Default
118;Rank 9 - Ranking in insolvency (master scale);962304820216980;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;11283;No;0;Default
119;Rank 9 - Ranking in insolvency (master scale);962304820220280;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;22596,98;No;0;Default
120;Rank 9 - Ranking in insolvency (master scale);962304820225180;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;50000;No;0;Default
121;Rank 9 - Ranking in insolvency (master scale);962304820229380;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;34750;No;0;Default
122;Rank 9 - Ranking in insolvency (master scale);962304820232660;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;36000;No;0;Default
123;Rank 9 - Ranking in insolvency (master scale);962304820241980;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;12500;No;0;Default
124;Rank 9 - Ranking in insolvency (master scale);962304820242730;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;135823,88;No;0;Default
