0010;0020;0030;0040;0050;0060;0065;0070;0080;0090;0100;0110;0120;0130;0140
33;r0390 - Non-financial liabilities;c001x   - Households;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Liabilities other than financial liabilities, provisions, tax liabilities, deferred income;257693,81;Euro;2021-12-31;2099-01-31;No;0
34;r0390 - Non-financial liabilities;c001x   - Households;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Provisions. Off-balance sheet exposures subject to credit risk;5490508,1;Euro;2021-12-31;2099-01-31;No;0
35;r0390 - Non-financial liabilities;c001x   - Households;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Liabilities other than financial liabilities, provisions, tax liabilities, deferred income;294606,26;Euro;2021-12-31;2099-01-31;No;0
36;r0390 - Non-financial liabilities;c001x   - Households;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Provisions. Off-balance sheet exposures subject to credit risk;492270,46;Euro;2021-12-31;2099-01-31;No;0
37;r0390 - Non-financial liabilities;c008x   - Government, central banks & supranationals;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Liabilities other than financial liabilities, provisions, tax liabilities, deferred income;684126,09;Euro;2021-12-31;2099-01-31;No;0
38;r0390 - Non-financial liabilities;c008x   - Government, central banks & supranationals;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Liabilities other than financial liabilities, provisions, tax liabilities, deferred income;20224503,66;Euro;2021-12-31;2099-01-31;No;0
39;r0390 - Non-financial liabilities;c008x   - Government, central banks & supranationals;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Provisions. Off-balance sheet exposures subject to credit risk;2165,44;Euro;2021-12-31;2099-01-31;No;0
40;r0390 - Non-financial liabilities;c008x   - Government, central banks & supranationals;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Liabilities other than financial liabilities, provisions, tax liabilities, deferred income;307350,81;Euro;2021-12-31;2099-01-31;No;0
41;r0390 - Non-financial liabilities;c008x   - Government, central banks & supranationals;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Provisions. Off-balance sheet exposures subject to credit risk;636,03;Euro;2021-12-31;2099-01-31;No;0
42;r0390 - Non-financial liabilities;c010x   - Non-identified, not listed on an exchange platform;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Liabilities other than financial liabilities, provisions, tax liabilities, deferred income;2337,101927;Swiss Franc;2021-12-31;2099-01-31;No;0
43;r0390 - Non-financial liabilities;c005x   - Other financial corporations;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Liabilities other than financial liabilities, provisions, tax liabilities, deferred income;46462,10435;Swiss Franc;2021-12-31;2099-01-31;No;0
44;r0390 - Non-financial liabilities;c005x   - Other financial corporations;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Liabilities other than financial liabilities, provisions, tax liabilities, deferred income;2482742,752;Yen;2021-12-31;2099-01-31;No;0
45;r0390 - Non-financial liabilities;c005x   - Other financial corporations;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Liabilities other than financial liabilities, provisions, tax liabilities, deferred income;56450,37583;Yen;2021-12-31;2099-01-31;No;0
46;r0390 - Non-financial liabilities;c010x   - Non-identified, not listed on an exchange platform;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Liabilities other than financial liabilities, provisions, tax liabilities, deferred income;2408,887514;Pound Sterling;2021-12-31;2099-01-31;No;0
47;r0390 - Non-financial liabilities;c010x   - Non-identified, not listed on an exchange platform;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Liabilities other than financial liabilities, provisions, tax liabilities, deferred income;1282,274956;Pound Sterling;2021-12-31;2099-01-31;No;0
48;r0390 - Non-financial liabilities;c005x   - Other financial corporations;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Liabilities other than financial liabilities, provisions, tax liabilities, deferred income;97396,10606;Pound Sterling;2021-12-31;2099-01-31;No;0
49;r0390 - Non-financial liabilities;c005x   - Other financial corporations;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Liabilities other than financial liabilities, provisions, tax liabilities, deferred income;113105,1554;Pound Sterling;2021-12-31;2099-01-31;No;0
