Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;B;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2021;27943.0312506306;75982.9687493694
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;C;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2021;41001.9874772907;111493.012522709
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;D;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2021;59117.6627995632;160753.337200437
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;E;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2021;77244.3619684311;210043.638031569
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;F;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2021;97646.2755248713;265520.724475129
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;G;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2021;120312.917370903;327156.082629097
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;A2020;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;4303.87103543718;11703.1289645628
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;A2015;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;11017.6624863566;29959.3375136435
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;A2010;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;18431.0648846244;50117.9351153756
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;B;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;27350.7011518571;74372.2988481429
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;C;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;40133.25459071;109130.74540929
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;D;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;57864.9774022931;157347.022597707
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;E;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;75607.4551861645;205592.544813836
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;F;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;95577.0188566183;259893.981143382
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;G;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;117763.182315674;320222.817684326
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;A2020;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;4199.01005562707;11417.9899443729
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;A2015;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;10749.5948020727;29230.4051979273
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;A2010;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;17982.3136658986;48897.6863341014
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;B;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;26684.6994929093;72561.3005070908
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;C;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;39155.6276097111;106472.372390289
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;D;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;56455.5382839223;153514.461716078
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;E;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;73765.9350561146;200585.064943885
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;F;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;93249.373979141;253564.626020859
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - shopping center;G;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;114895.368955021;312424.631044979
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;A2020;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;4492.62079909539;12216.3792009046
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;A2015;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;11500.8296164047;31273.1703835953
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;A2010;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;19239.3010520839;52315.6989479161
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;B;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;28549.8805619933;77633.1194380067
