CÓDIGO PROGRAMA;NOME PROGRAMA;AGENTE;AGENCY;MOEDA;MONTANTE;MONT. DISPONÍVEL;DATA INÍCIO;DATA FIM;DATA BREAK CLAUSE;DATA DENUNCIA;SPREAD;COMISSÃO AGENTE;PERIOCIDADE AGENTE;BASE CALCULO AGENTE;B.C. GARANTIA SUBS;COMISSÃO GARANTIA SUBS;PERIOCIDADE GARANTIA SUBS;BEI;CONVENANTS;ESTADO;Nº EMISSÕES VIVAS;Nº ALTERAÇÕES;TIPO TAXA;METODO COLOCACAO;TOMADA FIRME;INDICADOR INCLUIDO NO RELATORIO;INDICADOR INSC. INTERBOLSA;FUNDING BEI;LEI APLICAVEL
PC1089;FINANÇOR 2024;BANCO SANTANDER TOTTA;7104;EUR;5500000;0;15/04/2024;15/04/2031;;;0.6;0.15;Trimestral;Act/360;Act/360;0.15;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1090;AMOB - MAQUINAS E FERRAMENTAS, SA - 2024;BANCO SANTANDER TOTTA;6246;EUR;2150000;2150000;24/04/2024;24/04/2029;;;1;0.05;Trimestral;Act/360;Act/360;0.15;Trimestral;Sim;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1091;J.O.M. - 2024;BANCO SANTANDER TOTTA;6246;EUR;4700000;0;09/05/2024;09/05/2029;11/05/2026;11/04/2026;0.75;0.05;Trimestral;Act/360;Act/360;0.05;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1092;METALOVIANA – METALURGICA DE VIANA, SA - 2024;BANCO SANTANDER TOTTA;6707;EUR;3750000;2250000;14/05/2024;14/05/2029;14/05/2026;14/04/2026;0.65;0.1;Trimestral;Act/360;Act/360;0.1;Trimestral;Sim;Não;Validado BO;2;1;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1093;INSPAUTO - 2024;BANCO SANTANDER TOTTA;6226;EUR;5000000;0;16/05/2024;16/05/2031;;;0.85;0.1;Semestral;Act/360;Act/360;0.15;Semestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1095;TRANSBOLHO - 2024;BANCO SANTANDER TOTTA;6245;EUR;850000;0;20/05/2024;21/05/2029;20/05/2026;20/04/2026;0.8;0.05;Trimestral;Act/360;Act/360;0.2;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1096;DRIVE ON HOLIDAYS - 2024;BANCO SANTANDER TOTTA;6704;EUR;6000000;200000;02/04/2024;02/04/2027;02/04/2025;03/03/2025;1.85;0.1;Anual;Act/360;Act/360;0.1;Anual;Não;Não;Validado BO;2;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1097;SILSA - CONFECÇÕES S.A. 2024;BANCO SANTANDER TOTTA;6707;EUR;1900000;0;22/05/2024;22/05/2028;;;0.7;0.05;Trimestral;Act/360;Act/360;0.05;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1098;ALBERTO DIAS BARBOSA, LDA - 2024;BANCO SANTANDER TOTTA;6228;EUR;1800000;450000;10/04/2024;23/04/2029;;;0.65;0.1;Semestral;Act/360;Act/360;0.1;Semestral;Sim;Não;Validado BO;2;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1099;MCGA PORTUGAL UNIPESSOAL, LDA - 2024;BANCO SANTANDER TOTTA;6226;EUR;700000;0;29/05/2024;29/05/2029;;;0.875;0.1;Semestral;Act/360;Act/360;0.15;Semestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1100;GRUPADO SUGAL 2023;BANCO SANTANDER TOTTA;6239;EUR;20000000;62800;10/05/2024;10/05/2027;;;1.5;0.1;Anual;Act/360;Act/360;0.125;Anual;Não;Não;Validado BO;2;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1101;GRUPADO VALSABOR - 2024;BANCO SANTANDER TOTTA;6239;EUR;1950000;0;27/05/2024;31/05/2028;;;1.05;0.1;Trimestral;Act/360;Act/360;0.1;Trimestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1102;REVIGRES - 2024;BANCO SANTANDER TOTTA;6245;EUR;2000000;2000000;23/04/2024;23/04/2029;;;0.6;0.05;Semestral;Act/360;Act/360;0.15;Semestral;Sim;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1103;LAFITTE - 2024;BANCO SANTANDER TOTTA;6226;EUR;900000;0;14/06/2024;14/06/2028;;;1.05;0.1;Trimestral;Act/360;Act/360;0.1;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1104;GRUPADO JMV - 2024;BANCO SANTANDER TOTTA;6581;EUR;1250000;250000;13/05/2024;13/05/2026;13/05/2025;13/04/2025;0.75;0.05;Semestral;Act/360;Act/360;0.15;Semestral;Não;Não;Validado BO;1;1;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1105;JULIO SILVA SAMPAIO & CA,SA - 2024;BANCO SANTANDER TOTTA;6246;EUR;1000000;0;21/06/2024;21/06/2029;;;1;0.1;Trimestral;Act/360;Act/360;0.1;Trimestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1106;J.JUSTINO NEVES, SA - 2024;BANCO SANTANDER TOTTA;6594;EUR;1500000;0;25/06/2024;25/06/2027;25/06/2025;26/05/2025;0.65;0.025;Anual;Act/360;Act/360;0.075;Anual;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1107;LAMEIRINHO 2024;BANCO SANTANDER TOTTA;6246;EUR;2000000;99500;27/06/2024;27/06/2029;;;0.6;0.05;Semestral;Act/360;Act/360;0.05;Semestral;Sim;Não;Validado BO;2;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1108;GRESART - CERAMICA INDUSTRIAL, SA;BANCO SANTANDER TOTTA;6245;EUR;3150000;0;26/06/2024;26/06/2029;26/06/2029;27/05/2029;0.6;0.03;Semestral;Act/360;Act/360;0.07;Semestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1109;REGO COSTA & TAVARES, LDA - 2024;BANCO SANTANDER TOTTA;7104;EUR;3500000;0;12/06/2024;12/06/2028;;;0.45;0.05;Mensal;Act/360;Act/360;0.05;Mensal;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1110;NOVARROZ 2024;BANCO SANTANDER TOTTA;6226;EUR;2000000;0;26/06/2024;26/06/2029;;;0.7;0.1;Semestral;Act/360;Act/360;0.0875;Semestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1111;DEVELOPMENT GROUP - 2024;BANCO SANTANDER TOTTA;6245;EUR;4000000;3000000;02/07/2024;02/07/2031;02/07/2025;02/06/2025;0.75;0.05;Semestral;Act/360;Act/360;0.05;Semestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1112;GRUPADO JAPGEST 2024 BULLET;BANCO SANTANDER TOTTA;6228;EUR;5000000;3000000;27/05/2024;27/05/2026;;;0.7;0.05;Semestral;Act/360;Act/360;0.1;Semestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1113;SANTOGAL IMOB 2024;BANCO SANTANDER TOTTA;7103;EUR;7200000;2200000;26/06/2024;26/06/2025;26/06/2025;27/05/2025;0.19;0.06;Semestral;Act/360;Act/360;0.5;Semestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1114;GRUPADO CIN 2024 (3 ANOS);BANCO SANTANDER TOTTA;7102;EUR;12500000;0;27/05/2024;27/05/2027;;;0.5;0.1;Anual;Act/360;Act/360;0.4;Anual;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1115;GRUPADO CIN 2024 (7ANOS);BANCO SANTANDER TOTTA;7102;EUR;12500000;0;27/05/2024;27/05/2031;;;0.65;0.1;Anual;Act/360;Act/360;0.4;Anual;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1116;VLB TEC;BANCO SANTANDER TOTTA;6581;EUR;2000000;2000000;26/06/2024;28/06/2027;26/06/2025;27/05/2025;0.5;0.05;Anual;Act/360;Act/360;0.1;Anual;Sim;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1117;MAQFORT 2024;BANCO SANTANDER TOTTA;6581;EUR;1500000;0;26/06/2024;28/06/2027;26/06/2026;27/05/2026;0.5;0.05;Anual;Act/360;Act/360;0.1;Anual;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1118;GRUPADO EFAFLU - 2024;BANCO SANTANDER TOTTA;6707;EUR;1250000;0;03/07/2024;05/07/2027;;;0.75;0.05;Semestral;Act/360;Act/360;0.05;Semestral;Sim;Não;Validado BO;1;1;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1119;OSCACER - 2024;BANCO SANTANDER TOTTA;6245;EUR;3000000;0;20/06/2024;20/06/2029;;;0.7;0.05;Semestral;Act/360;Act/360;0.1;Semestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1120;GRUPADO EDP 2020 II;BANCO SANTANDER TOTTA;9411;USD;112500000;0;02/07/2024;02/07/2029;;;4.864;;;;;;;Não;Não;Validado BO;1;0;Taxa Fixa;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1122;SIDEFARMA - 2024;BANCO SANTANDER TOTTA;6208;EUR;1500000;0;10/07/2024;12/07/2027;10/04/2025;11/03/2025;1.1;0.15;Trimestral;Act/360;Act/360;0.35;Trimestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1123;GRUPADO JAPGEST 2024 AMORTIZING;BANCO SANTANDER TOTTA;6228;EUR;5000000;5000000;27/05/2024;28/05/2029;;;0.8;0.05;Semestral;Act/360;Act/360;0.1;Semestral;Não;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1124;VIALSIL 2024;BANCO SANTANDER TOTTA;6228;EUR;900000;0;10/06/2024;11/06/2029;;;0.85;0.1;Semestral;Act/360;Act/360;0.1;Semestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1125;GRUPADO MARTINIQUAISE - 2024;BANCO SANTANDER TOTTA;7102;EUR;14000000;8500000;17/07/2024;17/07/2031;17/07/2025;17/06/2025;0.75;0.05;Semestral;Act/360;Act/360;0.2;Semestral;Não;Não;Validado BO;2;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1126;IRMÃOS MONTEIRO 2024;BANCO SANTANDER TOTTA;6245;EUR;700000;0;18/07/2024;18/07/2029;19/07/2027;19/06/2027;1;0.05;Semestral;Act/360;Act/360;0.2;Semestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1127;GRUPADO TIM WE;BANCO SANTANDER TOTTA;7103;EUR;4200000;0;17/07/2024;19/07/2027;17/07/2025;17/06/2025;1.8;0.05;Trimestral;Act/360;Act/360;0.3;Trimestral;Não;Não;Validado BO;1;1;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1128;TRANSGRANITOS 2024;BANCO SANTANDER TOTTA;6228;EUR;750000;350000;24/07/2024;25/06/2029;;;0.55;0.1;Trimestral;Act/360;Act/360;0.1;Trimestral;Sim;Não;Validado BO;4;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1129;CARTONAGEM EXPRESSO 2024;BANCO SANTANDER TOTTA;6246;EUR;900000;0;22/07/2024;23/07/2029;22/07/2026;22/06/2026;0.8;0.05;Trimestral;Act/360;Act/360;0.15;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1130;ATB 2024;BANCO SANTANDER TOTTA;6707;EUR;900000;0;12/07/2024;12/07/2028;13/07/2026;14/05/2026;0.75;0.05;Trimestral;Act/360;Act/360;0.1;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1131;NORS 2024;BANCO SANTANDER TOTTA;7102;EUR;15000000;0;29/07/2024;29/07/2027;29/07/2025;29/06/2025;0.5;0.05;Anual;Act/360;Act/360;0.25;Anual;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1132;JLS 2024;BANCO SANTANDER TOTTA;6247;EUR;4000000;0;05/08/2024;05/08/2027;05/08/2026;06/07/2026;0.4;0.075;Trimestral;Act/360;Act/360;0.025;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1133;CONFIAUTO 2024;BANCO SANTANDER TOTTA;6707;EUR;900000;0;12/08/2024;12/08/2027;;;1.275;0.05;Trimestral;Act/360;Act/360;0.1;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1134;JPM 2024;BANCO SANTANDER TOTTA;6226;EUR;2500000;0;08/08/2024;08/08/2029;;;0.75;0.1;Semestral;Act/360;Act/360;0.15;Semestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1135;INSPAUTO 1 MIO 2024;BANCO SANTANDER TOTTA;6226;EUR;1000000;0;08/08/2024;08/08/2028;;;0.85;0.1;Trimestral;Act/360;Act/360;0.15;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1136;LUSIADAS 2024;BANCO SANTANDER TOTTA;7103;EUR;10000000;5000000;29/08/2024;29/08/2029;;;1.2;0.1;Anual;Act/360;Act/360;0.35;Anual;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1137;GISLOTICA 2024;BANCO SANTANDER TOTTA;6210;EUR;900000;0;27/08/2024;27/08/2029;;;1;0.05;Trimestral;Act/360;Act/360;0.05;Trimestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1138;GRUPADO FERPINTA TURISMO 2024;BANCO SANTANDER TOTTA;6226;EUR;6000000;3000000;26/08/2024;27/08/2029;;;0.5;0.05;Semestral;Act/360;Act/360;0.05;Semestral;Não;Não;Validado BO;3;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1139;GRUPO SALVADOR CAETANO 2024;BANCO SANTANDER TOTTA;7102;EUR;7500000;0;02/09/2024;04/09/2028;;;0.75;0.15;Anual;Act/360;Act/360;0.5;Anual;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1140;PREH 2024;BANCO SANTANDER TOTTA;7102;EUR;4400000;0;30/08/2024;30/08/2028;01/09/2025;02/08/2025;0.675;0.1;Trimestral;Act/360;Act/360;0.1;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1141;CFPT 2024;BANCO SANTANDER TOTTA;6226;EUR;1500000;1500000;10/09/2024;10/09/2027;10/09/2026;11/08/2026;0.8;0.1;Anual;Act/360;Act/360;0.1;Anual;Sim;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1142;GRUPADO M A SILVA;BANCO SANTANDER TOTTA;6226;EUR;1750000;0;12/09/2024;12/09/2028;;;1;0.1;Semestral;Act/360;Act/360;0.15;Semestral;Sim;Não;Validado BO;3;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1143;GRUPADO GLOBALVALOS 2024;BANCO SANTANDER TOTTA;6226;EUR;1500000;0;19/09/2024;19/09/2029;19/09/2025;20/08/2025;0.9;0.05;Semestral;Act/360;Act/360;0.2;Semestral;Não;Não;Validado BO;2;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1144;TORMETAIS 2024;BANCO SANTANDER TOTTA;6226;EUR;1000000;0;23/09/2024;24/09/2029;;;1;0.1;Trimestral;Act/360;Act/360;0.1;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1145;CM TIR 2024;BANCO SANTANDER TOTTA;6707;EUR;950000;0;20/09/2024;20/09/2028;21/09/2026;22/08/2026;0.75;0.1;Trimestral;Act/360;Act/360;0.1;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1146;VIEIRA DE CASTRO 2024;BANCO SANTANDER TOTTA;6246;EUR;5000000;5000000;25/09/2024;25/09/2029;25/09/2026;26/08/2026;0.6;0.05;Semestral;Act/360;Act/360;0.1;Semestral;Não;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1147;WINDPARK;BANCO SANTANDER TOTTA;6586;EUR;750000;750000;25/09/2024;27/09/2027;25/09/2026;26/08/2026;1;0.15;Trimestral;Act/360;Act/360;0.1;Trimestral;Não;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1148;EXPRESSÃO LIVRE II;BANCO SANTANDER TOTTA;7102;EUR;15000000;0;18/09/2024;18/09/2029;;;1.35;0.25;Semestral;Act/360;Act/360;0.25;Semestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1149;GRUPEIXE;BANCO SANTANDER TOTTA;6245;EUR;950000;0;13/09/2024;13/09/2027;14/09/2026;15/08/2026;1.15;0.05;Trimestral;Act/360;Act/360;0.25;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1150;GRUPADO ARIE 2024;BANCO SANTANDER TOTTA;6208;EUR;10000000;0;23/09/2024;23/09/2027;23/09/2025;24/08/2025;0.8;0.05;Anual;Act/360;Act/360;0.65;Anual;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1151;GRUPADO ETE 2024;BANCO SANTANDER TOTTA;7103;EUR;10000000;0;27/09/2024;27/09/2029;;;0.85;0.15001;Trimestral;Act/360;Act/360;0.5999;Trimestral;Não;Não;Validado BO;2;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1152;Lusomotos 2024;BANCO SANTANDER TOTTA;6245;EUR;1000000;450000;27/09/2024;27/09/2027;29/09/2025;30/08/2025;0.55;0.05;Semestral;Act/360;Act/360;0.15;Semestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1153;SUMOL COMPAL MARCAS;BANCO SANTANDER TOTTA;6208;EUR;5000000;0;20/09/2024;20/09/2027;;;2;0.05;Semestral;Act/360;Act/360;0.25;Semestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1154;LASKASAS 2024;BANCO SANTANDER TOTTA;6228;EUR;2000000;100000;26/09/2024;27/08/2029;28/09/2026;29/08/2026;0.55;0.1;Semestral;Act/360;Act/360;0.1;Semestral;Sim;Não;Validado BO;3;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1155;AAPICO MAIA 2024;BANCO SANTANDER TOTTA;6210;EUR;10000000;0;01/10/2024;01/10/2029;01/10/2025;01/09/2025;1.25;0.1;Trimestral;Act/360;Act/360;0.1;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1156;PRIMUS 2024;BANCO SANTANDER TOTTA;6245;EUR;750000;0;10/10/2024;10/10/2030;;;0.85;0.05;Semestral;Act/360;Act/360;0.1;Semestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1157;MAREC - OUT 2024;BANCO SANTANDER TOTTA;6390;EUR;6000000;0;16/10/2024;16/10/2029;18/10/2027;18/09/2027;0.7;0.01;Semestral;Act/360;Act/360;0.01;Semestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1158;PETROTEC - 2024;BANCO SANTANDER TOTTA;6246;EUR;1500000;0;15/10/2024;16/10/2028;;;1.15;0.1;Trimestral;Act/360;Act/360;0.1;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1159;GRUPADO C SANTOS - 2024;BANCO SANTANDER TOTTA;6581;EUR;4000000;0;30/09/2024;01/10/2029;30/09/2026;31/08/2026;0.9;0.1;Semestral;Act/360;Act/360;0.05;Semestral;Sim;Não;Validado BO;2;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1160;EPORIFRUTAS,SA - 2024;BANCO SANTANDER TOTTA;6593;EUR;1000000;200000;21/10/2024;22/10/2029;21/10/2026;21/09/2026;1.25;0.1;Semestral;Act/360;Act/360;0.1;Semestral;Sim;Não;Validado BO;2;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1161;SABSEG - 2024;BANCO SANTANDER TOTTA;6707;EUR;1500000;500000;30/09/2024;30/09/2027;30/09/2025;31/08/2025;1;0.1;Semestral;Act/360;Act/360;0.1;Semestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1162;BONDALTI - 2024;BANCO SANTANDER TOTTA;9411;EUR;11000000;0;14/10/2024;14/04/2026;;;1.65;0.05;Semestral;Act/360;Act/360;0.25;Semestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1163;EUROGALVA;BANCO SANTANDER TOTTA;6226;EUR;3350000;0;25/10/2024;25/10/2029;25/10/2027;25/09/2027;1;0.1;Trimestral;Act/360;Act/360;0.15;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1164;CLOROSOL;BANCO SANTANDER TOTTA;6246;EUR;750000;0;31/10/2024;31/10/2029;31/10/2026;01/10/2026;0.8;0.1;Semestral;Act/360;Act/360;0.1;Semestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1165;CARVITIN;BANCO SANTANDER TOTTA;6707;EUR;1450000;0;28/10/2024;29/10/2029;28/10/2026;28/09/2026;0.6;0.0375;Trimestral;Act/360;Act/360;0.0375;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1166;OGMA 2024;BANCO SANTANDER TOTTA;7103;EUR;15000000;5000000;27/09/2024;27/09/2029;29/09/2025;30/08/2025;1.75;0.1;Anual;Act/360;Act/360;0.15;Anual;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1167;MOTRINDE - 2024;BANCO SANTANDER TOTTA;6245;EUR;2000000;0;11/11/2024;12/11/2029;;;0.8;0.05;Trimestral;Act/360;Act/360;0.1;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1168;BRISA CONCESSÃO IV;BANCO SANTANDER TOTTA;9411;EUR;135000000;0;30/12/2024;31/12/2029;;;0.55;;;;Act/360;0.08;Semestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Nao;Nao;Nao;;PRT
PC1169;NABEIROGEST 2024;BANCO SANTANDER TOTTA;6380;EUR;5000000;0;18/11/2024;04/02/2026;04/02/2026;05/01/2026;0.4;0.05;Mensal;Act/360;Act/360;0.25;Mensal;Não;Não;Validado BO;1;1;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1170;A PADARIA PORTUGUESA 2024;BANCO SANTANDER TOTTA;6704;EUR;2000000;0;18/11/2024;19/11/2029;18/11/2025;19/10/2025;0.75;0.06;Anual;Act/360;Act/360;0.05;Anual;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1171;SODÉCIA AMORTIZING 2024;BANCO SANTANDER TOTTA;6210;EUR;15000000;10200000;12/11/2024;12/11/2029;;;0.7;0.05;Trimestral;Act/360;Act/360;0.05;Trimestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1172;BRASMAR 2024;BANCO SANTANDER TOTTA;7102;EUR;5000000;0;29/10/2024;29/10/2029;;;0.7;0.1;Semestral;Act/360;Act/360;0.05;Semestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1173;SODÉCIA BULLET 2024;BANCO SANTANDER TOTTA;6210;EUR;20000000;13000000;12/11/2024;12/11/2027;12/11/2025;13/10/2025;0.6;0.05;Trimestral;Act/360;Act/360;0.05;Trimestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC1174;BI-SILQUE 2024;BANCO SANTANDER TOTTA;6245;EUR;950000;0;27/11/2024;27/11/2028;27/05/2027;27/04/2027;1.65;0.05;Trimestral;Act/360;Act/360;0.2;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC1175;CMM 2024;BANCO SANTANDER TOTTA;6245;EUR;750000;0;26/11/2024;26/11/2029;26/11/2026;27/10/2026;1.35;0.05;Semestral;Act/360;Act/360;0.175;Semestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
