CÓDIGO PROGRAMA;NOME PROGRAMA;AGENTE;AGENCY;MOEDA;MONTANTE;MONT. DISPONÍVEL;DATA INÍCIO;DATA FIM;DATA BREAK CLAUSE;DATA DENUNCIA;SPREAD;COMISSÃO AGENTE;PERIOCIDADE AGENTE;BASE CALCULO AGENTE;B.C. GARANTIA SUBS;COMISSÃO GARANTIA SUBS;PERIOCIDADE GARANTIA SUBS;BEI;CONVENANTS;ESTADO;Nº EMISSÕES VIVAS;Nº ALTERAÇÕES;TIPO TAXA;METODO COLOCACAO;TOMADA FIRME;INDICADOR INCLUIDO NO RELATORIO;INDICADOR INSC. INTERBOLSA;FUNDING BEI;LEI APLICAVEL
PC0920;GRUPADO UNICER 2016 II;BANCO SANTANDER TOTTA;7102;EUR;15000000;0;16/05/2022;17/05/2027;;;2.01;0.2;Semestral;Act/360;Act/360;0.2;Semestral;Não;Não;Validado BO;1;0;Taxa Fixa;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0921;GRUPADO CORK SUPPLY 2022;BANCO SANTANDER TOTTA;6226;EUR;1400000;0;23/05/2022;25/05/2026;;;0.65;0.05;Semestral;Act/360;Act/360;0.15;Semestral;Não;Não;Validado BO;1;3;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0922;GRUPADO TARHOL 2022;BANCO SANTANDER TOTTA;6581;EUR;750000;0;20/05/2022;20/05/2026;;;2.25;0.1;Semestral;Act/360;Act/360;0.15;Semestral;Não;Não;Validado BO;1;0;Taxa Fixa;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0924;LAMEIRINHO 2022;BANCO SANTANDER TOTTA;6246;EUR;2100000;185100;27/05/2022;29/05/2028;;;0.6;0.05;Semestral;Act/360;Act/360;0.05;Semestral;Não;Não;Validado BO;3;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0925;GRUPADO Becrinvest 2022;BANCO SANTANDER TOTTA;6707;EUR;2000000;400000;25/05/2022;31/01/2028;30/01/2026;31/12/2025;0.9;0.1;Trimestral;Act/360;Act/360;0.1;Trimestral;Não;Não;Validado BO;2;2;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0926;CARTONAGEM TRINDADE - JUNHO 2022;BANCO SANTANDER TOTTA;6226;EUR;1200000;0;20/06/2022;21/06/2027;;;1.1;0.05;Trimestral;Act/360;Act/360;0.1;Trimestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0928;BALANÇAS MARQUES JUNHO 2022;BANCO SANTANDER TOTTA;6707;EUR;350000;0;25/05/2022;25/11/2026;;;0.85;0.1;Trimestral;Act/360;Act/360;0.05;Trimestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0929;GRUPADO CEREALIS - JUNHO 2022;BANCO SANTANDER TOTTA;7102;EUR;4000000;4000000;09/06/2022;09/06/2028;;;1.1;0.05;Semestral;Act/360;Act/360;0.05;Semestral;Não;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0930;GRUPADO BEBECAR 1M 2022;BANCO SANTANDER TOTTA;6226;EUR;400000;0;27/06/2022;27/04/2026;;;1.9;0.15;Trimestral;Act/360;Act/360;0.2;Trimestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0931;SEDACOR 800M 2022;BANCO SANTANDER TOTTA;6226;EUR;200000;0;27/06/2022;27/06/2025;;;1.85;0.1;Trimestral;Act/360;Act/360;0.15;Trimestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0932;GRUPADO Mcoutinho 2M – 2022;BANCO SANTANDER TOTTA;6228;EUR;2000000;2000000;06/06/2022;07/06/2027;06/06/2025;07/05/2025;1.2;0.05;Anual;Act/360;Act/360;0.1;Anual;Não;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0933;TRACK PROFIT ENERGY - 2022;BANCO SANTANDER TOTTA;7102;EUR;5000000;0;29/06/2022;18/06/2029;17/06/2026;18/05/2026;1.15;0.3;Anual;Act/360;Act/360;0.15;Anual;Não;Não;Validado BO;1;1;Taxa Variável;Colocacao directa da emissao;Sim;Sim;Nao;;PRT
PC0936;MundoTextil 2022;BANCO SANTANDER TOTTA;6246;EUR;300000;0;29/07/2022;29/07/2026;;;2.8;0.1;Trimestral;Act/360;Act/360;0.4;Trimestral;Não;Não;Validado BO;1;0;Taxa Fixa;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0937;CIN 2022;BANCO SANTANDER TOTTA;7102;EUR;20000000;20000000;26/07/2022;26/07/2029;;;0.8;0.1;Semestral;Act/360;Act/360;0.4;Semestral;Não;Não;Validado BO;0;1;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0938;GRUPADO VERACRUZ 2022;BANCO SANTANDER TOTTA;5223;EUR;19500000;0;02/08/2022;02/08/2034;;;1.46;0.1;Semestral;Act/360;Act/360;0.15;Semestral;Não;Não;Validado BO;9;0;Taxa Variável;Colocacao directa da emissao;Nao;Nao;Nao;;PRT
PC0940;Martins da Cruz & Cruz 2022;BANCO SANTANDER TOTTA;6707;EUR;2000000;500000;19/08/2022;19/08/2025;19/08/2025;20/07/2025;0.9;;;;;;;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0941;IBEROBRITA PRODUTORA DE AGREGADOS 2022;BANCO SANTANDER TOTTA;6586;EUR;600000;0;10/08/2022;10/08/2027;;;1;0.1;Semestral;Act/360;Act/360;0.08;Semestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0942;Valente Marques SA 2022;BANCO SANTANDER TOTTA;6226;EUR;500000;0;30/08/2022;30/08/2027;;;0.95;0.05;Semestral;Act/360;Act/360;0.15;Semestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0943;FAPRICELA 2022;BANCO SANTANDER TOTTA;6586;EUR;3750000;0;19/09/2022;20/09/2027;;;0.8;0.1;Semestral;Act/360;Act/360;0.1;Semestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0944;GRUPADO ETE SETEMBRO 2022;BANCO SANTANDER TOTTA;7103;EUR;3250000;0;21/09/2022;21/09/2027;;;2.5;0.1;Trimestral;Act/360;Act/360;0.4;Trimestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0945;GRUPADO TROFA SAUDE 2022;BANCO SANTANDER TOTTA;6246;EUR;6750000;6750000;16/08/2022;16/08/2029;;;0.7;0.05;Semestral;Act/360;Act/360;0.2;Semestral;Não;Não;Validado BO;0;1;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0946;Domingos Sousa & Fos SA 2022;BANCO SANTANDER TOTTA;6246;EUR;300000;0;04/10/2022;06/10/2025;;;1;0.05;Trimestral;Act/360;Act/360;0.05;Trimestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0948;SULPASTEIS 2022;BANCO SANTANDER TOTTA;6247;EUR;550000;0;02/11/2022;02/11/2026;;;1.25;0.05;Trimestral;Act/360;Act/360;0.4;Trimestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0950;GRUPADO AMORIM 2022;BANCO SANTANDER TOTTA;9411;EUR;2500000;0;18/11/2022;18/11/2027;;;1.5;0.05;Anual;Act/360;Act/360;0.125;Anual;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0952;GRUPADO CIMPOR 2022;BANCO SANTANDER TOTTA;9405;EUR;40000000;0;22/11/2022;23/11/2026;;;1.5;0.05;Semestral;Act/360;Act/360;0.1;Semestral;Não;Não;Validado BO;2;1;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0953;TMG INDUSTRIA AUTOMOVEL 2022;BANCO SANTANDER TOTTA;6246;EUR;1100000;0;29/11/2022;30/11/2026;29/11/2025;30/10/2025;1.875;0.125;Trimestral;Act/360;Act/360;0.25;Trimestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0955;GRUPADO LOGOPLASTE;BANCO SANTANDER TOTTA;7103;EUR;25000000;25000000;23/11/2022;23/11/2027;23/11/2025;24/10/2025;1;0.25;Semestral;Act/360;Act/360;0.45;Semestral;Não;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0957;GRUPADO SICOR 2022;BANCO SANTANDER TOTTA;6245;EUR;700000;700000;07/12/2022;07/12/2026;;;1;0.05;Trimestral;Act/360;Act/360;0.3;Trimestral;Não;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0958;MARI-SPORT CALÇADO LDA 2022;BANCO SANTANDER TOTTA;6228;EUR;300000;300000;12/12/2022;13/12/2027;12/12/2025;12/11/2025;1.35;0.05;Semestral;Act/360;Act/360;0.2;Semestral;Não;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0959;MULTIMOTO 2022;BANCO SANTANDER TOTTA;6226;EUR;1400000;0;23/12/2022;23/12/2027;;;1;0.15;Semestral;Act/360;Act/360;0.1;Semestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0962;GRUPADO CAETANO COATINGS S.A – 2022;BANCO SANTANDER TOTTA;6208;EUR;2500000;2100000;29/12/2022;29/12/2028;29/12/2025;29/11/2025;0.8;0.15;Semestral;Act/360;Act/360;0.55;Semestral;Não;Não;Validado BO;2;3;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0963;DUVALLI - 2022;BANCO SANTANDER TOTTA;6226;EUR;600000;0;03/01/2023;03/01/2028;;;1.25;0.05;Trimestral;Act/360;Act/360;0.1;Trimestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0965;GRUPADO M.COUTINHO 1M 2022;BANCO SANTANDER TOTTA;6228;EUR;600000;600000;23/01/2023;24/01/2028;23/01/2026;24/12/2025;1;0.05;Trimestral;Act/360;Act/360;0.3;Trimestral;Não;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0966;GRUPADO ADA 2022;BANCO SANTANDER TOTTA;6228;EUR;900000;900000;01/02/2023;01/02/2028;;;1.2;0.05;Trimestral;Act/360;Act/360;0.1;Trimestral;Não;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0969;Ascendum 2023;BANCO SANTANDER TOTTA;7102;EUR;10000000;10000000;20/01/2023;21/01/2030;;;0.4;0.1;Anual;Act/360;Act/360;0.4;Anual;Não;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0971;Santogal Imobiliária, S.A. 2023;BANCO SANTANDER TOTTA;7103;EUR;7500000;300000;06/03/2023;28/06/2027;26/06/2025;27/05/2025;0.19;0.06;Anual;Act/360;Act/360;0.5;Anual;Sim;Não;Validado BO;1;1;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC0974;Despomar 2023;BANCO SANTANDER TOTTA;6239;EUR;1500000;600000;17/03/2023;17/03/2028;17/03/2025;16/01/2025;1.15;0.1;Anual;Act/360;Act/360;0.1;Anual;Não;Não;Validado BO;2;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
