unique_trade_id;counterparty_id;counterparty_type_id;counterparty_country;base_product;product_id;governing_law;contract_recogn_write_down;contract_recogn_suspension;contract_recogn_resolution;collateral_portfolio;collateral_posted;collateral_posted_currency;collateral_received;collateral_received_currency;leg_1_cash_flow;leg_2_cash_flow;leg_1_reference_rate;leg_2_reference_rate;leg_1_reference_period;leg_2_reference_period;premium;netting_agreement;carrying_amount;accounting_standard;accounting_classification;hierarchy;hedge_id;total_risk_exposure_amount
1010000051SW10000000LCH0009011774193529578;F226TOH6YD6XJB17KS62;Legal Entity Identifier;GB;IR Swap (2.1);IRD|IRS|;HK;YES;NO;NO;YES;-231220467.2305;USD;11111111111.0000;N/A;N/A;N/A;N/A;USD SOFR COMP;N/A;3 month;0.0000;ISDA-LUTD-MAD;510740.0000;IFRS;trading book;Level 2;N/A;1.4596
1010000051SW10000000LCH0009027468593717467;F226TOH6YD6XJB17KS62;Legal Entity Identifier;GB;IR Swap (2.1);IRD|IRS|;HK;YES;NO;NO;YES;-231220467.2305;USD;11111111111.0000;N/A;N/A;N/A;N/A;USD SOFR COMP;N/A;1 year;0.0000;ISDA-LUTD-MAD;285213.0000;IFRS;trading book;Level 2;N/A;0.7918
1010000051SW10000000LCH0009159680695353511;F226TOH6YD6XJB17KS62;Legal Entity Identifier;GB;IR Swap (2.1);IRD|IRS|;ES;YES;NO;NO;YES;-3573002.5424;PLN;11111111111.0000;N/A;N/A;N/A;N/A;PLNWIBOR;N/A;6 month;0.0000;ISDA-LUTD-MAD;984650.0000;IFRS;trading book;Level 2;N/A;70.9502
1010000051SW10000000LCH0009184153495639771;F226TOH6YD6XJB17KS62;Legal Entity Identifier;GB;IR Swap (2.1);IRD|IRS|;ES;YES;NO;NO;YES;-3573002.5424;PLN;11111111111.0000;N/A;N/A;N/A;N/A;PLNWIBOR;N/A;6 month;0.0000;ISDA-LUTD-MAD;826043.0000;IFRS;trading book;Level 2;N/A;61.5480
1010000051SW10000000LCH0009228379196174152;F226TOH6YD6XJB17KS62;Legal Entity Identifier;GB;IR Swap (2.1);IRD|IRS|;ES;YES;NO;NO;YES;-375039949.8300;EUR;11111111111.0000;N/A;N/A;N/A;N/A;EURIBOR3M;N/A;3 month;0.0000;ISDA-LUTD-MAD;3118570.0000;IFRS;trading book;Level 2;N/A;210.6720
1010000051SW10000000LCH0009287324896853929;F226TOH6YD6XJB17KS62;Legal Entity Identifier;GB;IR Swap (2.1);IRD|IRS|;ES;YES;NO;NO;YES;-375039949.8300;EUR;11111111111.0000;N/A;N/A;N/A;N/A;EURIBOR3M;N/A;3 month;0.0000;ISDA-LUTD-MAD;4010569.0000;IFRS;trading book;Level 2;N/A;9.8810
1010000051SW10000000LCH0009460459198961649;F226TOH6YD6XJB17KS62;Legal Entity Identifier;GB;IR Swap (2.1);IRD|IRS|;ES;YES;NO;NO;YES;-375039949.8300;EUR;11111111111.0000;N/A;N/A;N/A;N/A;EURIBOR6M;N/A;6 month;0.0000;ISDA-LUTD-MAD;2302962.0000;IFRS;trading book;Level 2;N/A;216.1686
1010000051SW10000000LCH0009495362399395597;F226TOH6YD6XJB17KS62;Legal Entity Identifier;GB;IR Swap (2.1);IRD|IRS|;GB;YES;NO;NO;YES;11111111111.0000;N/A;13403829.7209;GBP;N/A;N/A;N/A;GBP CALL M COMP;N/A;1 year;0.0000;ISDA-LUTD-MAD;-64013.0000;IFRS;trading book;Level 2;N/A;21.8276
1010000051SW1000000LCH00096024997100710046;F226TOH6YD6XJB17KS62;Legal Entity Identifier;GB;IR Swap (2.1);IRD|IRS|;GB;YES;NO;NO;YES;11111111111.0000;N/A;13403829.7209;GBP;N/A;N/A;N/A;GBP CALL M COMP;N/A;1 year;0.0000;ISDA-LUTD-MAD;-393677.0000;IFRS;trading book;Level 2;N/A;50.2190
1010000051SW1000000LCH00096076450100764080;F226TOH6YD6XJB17KS62;Legal Entity Identifier;GB;IR Swap (2.1);IRD|INFLS|;GB;YES;NO;NO;YES;11111111111.0000;N/A;13403829.7209;GBP;N/A;N/A;N/A;GBP RPI_ZC;N/A;0 businessDay;0.0000;ISDA-LUTD-MAD;1130458.0000;IFRS;trading book;Level 2;N/A;21.1260
1010000051SW1000000LCH00097803780103040972;F226TOH6YD6XJB17KS62;Legal Entity Identifier;GB;IR Swap (2.1);IRD|IRS|;GB;YES;NO;NO;YES;11111111111.0000;N/A;13403829.7209;GBP;N/A;N/A;N/A;GBP CALL M COMP;N/A;1 year;0.0000;ISDA-LUTD-MAD;470252.0000;IFRS;trading book;Level 2;N/A;5.3998
1010000283BKRBLTL7434537;4PQUHN3JPFGFNF3BB653;Legal Entity Identifier;US;Vanilla Option (4.5);CURR|OPT|SMP;ES;YES;YES;YES;YES;-135920000.0000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0000;1992-MSIL-BSTE;4857154.0000;IFRS;trading book;Level 2;N/A;278.3453
1010000283TSBGCNYXXXXXXXXXXXXXXXXXX8544446;E57ODZWZ7FF32TWEFA76;Legal Entity Identifier;US;Cross Currency (2.4);IRD|CS|;ES;YES;YES;YES;YES;11111111111.0000;N/A;52630000.0000;EUR;N/A;N/A;USD SOFR 1M FLBCK;MXNTIIE28D;28 day;28 day;0.0000;1992-CIDL-BSTE;1109710.0000;IFRS;trading book;Level 2;N/A;442.2926
1010000286V1AIR0000000000VTTCNY10004010557;W22LROWP2IHZNBB6K528;Legal Entity Identifier;GB;IR Swap (2.1);IRD|IRS|;ES;YES;YES;YES;YES;-205330000.0000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;MXNTIIE28D;N/A;28 day;0.0000;1992-GSLI-BSTE;1093062.0000;IFRS;trading book;Level 2;N/A;10821.8502
1010000286V1EIR0000000000VTTCTUK0001974264;SCRYQ25DTVRHYYMM6P89;Legal Entity Identifier;MX;IR Swap (2.1);IRD|IRS|;ES;YES;YES;YES;YES;-592524689.3163;USD;11111111111.0000;N/A;N/A;N/A;N/A;MXNTIIE28D;N/A;28 day;0.0000;1992-BMSY-BSTE;3195920.0000;IFRS;trading book;Level 2;N/A;0.0000
1010000286V1EIR0000000000VTTCTUK0002065279;SCRYQ25DTVRHYYMM6P89;Legal Entity Identifier;MX;IR Swap (2.1);IRD|IRS|;ES;YES;YES;YES;YES;-592524689.3163;USD;11111111111.0000;N/A;N/A;N/A;N/A;MXNTIIE28D;N/A;28 day;0.0000;1992-BMSY-BSTE;1434288.0000;IFRS;trading book;Level 2;N/A;0.0000
1030229152MARKITWIRE0000000000000175828844;7H6GLXDRUGQFU57RNE97;Legal Entity Identifier;US;Cross Currency (2.4);IRD|CS|;GB;YES;YES;YES;YES;-72033296.7500;EUR;11111111111.0000;N/A;N/A;N/A;EURIBOR3M;USD SOFR 3M FLBCK;3 month;3 month;0.0000;1992-CMFX-BECM;239457.0000;IFRS;trading book;Level 2;N/A;829.0572
1030266796MARKITWIRE0000000000000109821316;SCRYQ25DTVRHYYMM6P89;Legal Entity Identifier;MX;IR Swap (2.1);IRD|IRS|;US;YES;YES;YES;YES;-592524689.3163;USD;11111111111.0000;N/A;N/A;N/A;N/A;MXNTIIE_28D;N/A;28 day;0.0000;1992-BMSY-BSTE;876954.0000;IFRS;trading book;Level 2;N/A;0.0000
1030266796MARKITWIRE0000000000000137327195;SCRYQ25DTVRHYYMM6P89;Legal Entity Identifier;MX;Cross Currency (2.4);IRD|CS|;ES;YES;YES;YES;YES;-592524689.3163;USD;11111111111.0000;N/A;N/A;N/A;USD SOFR 1M FLBCK;MXNTIIE28D;28 day;28 day;0.0000;1992-BMSY-BSTE;5193948.0000;IFRS;trading book;Level 2;N/A;0.0000
1030266796MARKITWIRE0000000000000137639657;K6Q0W1PS1L1O4IQL9C32;Legal Entity Identifier;GB;Swaptions (2.8);IRD|OSWP|;ES;YES;YES;YES;YES;-35217000.0000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;EURIBOR6M;N/A;6 month;-1168000.0000;2002-JPML-BSTE;2460228.0000;IFRS;trading book;Level 2;N/A;102.5605
1030266796MARKITWIRE0000000000000142791123;SCRYQ25DTVRHYYMM6P89;Legal Entity Identifier;MX;IR Swap (2.1);IRD|IRS|;US;YES;YES;YES;YES;11111111111.0000;N/A;784387.8467;USD;N/A;N/A;N/A;USD SOFR 1M FLBCK;N/A;1 month;0.0000;1992-BMSY-BSTE;7650253.0000;IFRS;trading book;Level 2;N/A;0.0000
1030266796MARKITWIRE0000000000000148641514;TR24TWEY5RVRQV65HD49;Legal Entity Identifier;US;IR Swap (2.1);IRD|IRS|;GB;YES;NO;NO;YES;-313169843.5950;USD;11111111111.0000;N/A;N/A;N/A;N/A;USD SOFR 3M FLBCK;N/A;3 month;0.0000;1992-SBWO-BSTE;444425.0000;IFRS;trading book;Level 2;N/A;0.0000
1030266796MARKITWIRE0000000000000176951153;259400LGXW3K0GDAG361;Legal Entity Identifier;PL;IR Swap (2.1);IRD|IRS|;ES;YES;NO;NO;YES;-150100000.0000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;PLNWIBOR;N/A;6 month;0.0000;1992-1WBK-BSTE;556070.0000;IFRS;trading book;Level 2;N/A;0.0000
1030266796MARKITWIRE0000000000000186319143;RR3QWICWWIPCS8A4S074;Legal Entity Identifier;US;CapFloor (2.3);IRD|CF|;ES;YES;YES;YES;YES;-55260000.0000;EUR;11111111111.0000;N/A;N/A;N/A;EURIBOR3M;N/A;3 month;N/A;-636875.0000;1992-RBSB-BSTE;2053768.0000;IFRS;trading book;Level 2;N/A;38075.8866
1030266796SAN00000000000000000000222888921;R0MUWSFPU8MPRO8K5P83;Legal Entity Identifier;US;IR Swap (2.1);IRD|IRS|;ES;YES;YES;YES;YES;-47270000.0000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;USD SOFR 3M FLBCK;N/A;3 month;0.0000;1992-PBFP-BSTE;2780632.0000;IFRS;trading book;Level 2;N/A;4316.7710
1030266796SAN00000000000000000001694360321;3TK20IVIUJ8J3ZU0QE75;Legal Entity Identifier;SG;IR Swap (2.1);IRD|INFLS|;ES;YES;YES;YES;YES;11111111111.0000;N/A;6426310.0695;USD;N/A;N/A;N/A;GBP RPI;N/A;3 month;0.0000;1992-INGM-BSTE;1091646.0000;IFRS;trading book;Level 2;N/A;3.9351
1030443453MARKITWIRE0000000000000166625469;F8SB4JFBSYQFRQEH3Z21;Legal Entity Identifier;US;IR Swap (2.1);IRD|INFLS|;ES;YES;NO;NO;YES;11111111111.0000;N/A;10630000.0000;EUR;N/A;N/A;N/A;GBP RPI_ZC;N/A;0 businessDay;0.0000;1992-NABA-BSTE;85307.0000;IFRS;trading book;Level 2;N/A;24.9999
1042039321;07734930F;Other identifier type;ES;MISS;MISS;ES;NO;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;99999999999.0000;CMOF-YEUF-BSTE;25903.0000;IFRS;trading book;Level 2;N/A;0.0000
1050000007O00000000000000537081C;529900LN3S50JPU47S06;Legal Entity Identifier;DE;IR Swap (2.1);IRD|IRS|;ES;YES;NO;NO;YES;-388951764.3000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;EUR6M-EUREX;N/A;6 month;0.0000;ISDA-ECAG-BSTE;63077065.0000;IFRS;trading book;Level 2;N/A;2966.9628
1050000007O00000000000000760077C;529900LN3S50JPU47S06;Legal Entity Identifier;DE;IR Swap (2.1);IRD|IRS|;ES;YES;NO;NO;YES;-388951764.3000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;EUR6M-EUREX;N/A;6 month;0.0000;ISDA-ECAG-BSTE;2482150.0000;IFRS;trading book;Level 2;N/A;107.2568
1050000007O00000000000001026264C;529900LN3S50JPU47S06;Legal Entity Identifier;DE;IR Swap (2.1);IRD|IRS|;ES;YES;NO;NO;YES;-388951764.3000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;EUR6M-EUREX;N/A;6 month;0.0000;ISDA-ECAG-BSTE;544225.0000;IFRS;trading book;Level 2;N/A;0.0822
1050000007O00000000000001691541C;529900LN3S50JPU47S06;Legal Entity Identifier;DE;IR Swap (2.1);IRD|IRS|;ES;YES;NO;NO;YES;-388951764.3000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;EUR ESTR EUREX;N/A;1 year;0.0000;ISDA-ECAG-BSTE;1145705.0000;IFRS;trading book;Level 2;N/A;0.4466
1050000007O00000000000001699008C;529900LN3S50JPU47S06;Legal Entity Identifier;DE;IR Swap (2.1);IRD|IRS|;ES;YES;NO;NO;YES;-388951764.3000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;EUR ESTR EUREX;N/A;1 year;0.0000;ISDA-ECAG-BSTE;1064678.0000;IFRS;trading book;Level 2;N/A;0.3826
1050000007O00000000000003334027C;529900LN3S50JPU47S06;Legal Entity Identifier;DE;IR Swap (2.1);IRD|IRS|;ES;YES;NO;NO;YES;-388951764.3000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;EUR ESTR EUREX;N/A;1 year;0.0000;ISDA-ECAG-BSTE;588806.0000;IFRS;trading book;Level 2;N/A;0.0676
1050000007O00000000000003943242C;529900LN3S50JPU47S06;Legal Entity Identifier;DE;FRA (2.2);IRD|FRA|;ES;YES;NO;NO;YES;-388951764.3000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;EURIBOR3M;N/A;3 month;0.0000;ISDA-ECAG-BSTE;58678.0000;IFRS;trading book;Level 2;N/A;0.9416
1050000007O00000000000003947172C;529900LN3S50JPU47S06;Legal Entity Identifier;DE;IR Swap (2.1);IRD|IRS|;ES;YES;NO;NO;YES;-388951764.3000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;EUR3M-EUREX;N/A;3 month;0.0000;ISDA-ECAG-BSTE;28033.0000;IFRS;trading book;Level 2;N/A;4.0780
1050000007O00000000000004054025C;529900LN3S50JPU47S06;Legal Entity Identifier;DE;IR Swap (2.1);IRD|IRS|;ES;YES;NO;NO;YES;-388951764.3000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;EUR ESTR EUREX;N/A;3 month;0.0000;ISDA-ECAG-BSTE;25037.0000;IFRS;trading book;Level 2;N/A;8.3912
1050000007O00000000000004279280C;529900LN3S50JPU47S06;Legal Entity Identifier;DE;FRA (2.2);IRD|FRA|;ES;YES;NO;NO;YES;-388951764.3000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;EURIBOR6M;N/A;6 month;0.0000;ISDA-ECAG-BSTE;2702.0000;IFRS;trading book;Level 2;N/A;1.3560
