c0010;c0020;c0030;c0040;c0050;c0060;c0070;c0080;c0090;c0100;c0110;c0120;c0130;c0140;c0150
65;89000020240000766001520240650486P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2551.98;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
66;89000020240000766001520240650487P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2551.98;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
67;89000020240000766001520240650488P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2551.98;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
68;89000020240000766001520240650489P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2551.98;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
69;89000020240000766001520240650490P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2551.98;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
70;89000020240000766001520240650491P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2551.98;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
71;89000020240000766001520240650492P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2551.98;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
72;89000020240000766001520240650493P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2551.98;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
73;89000020240000766001520240650494P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2551.98;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
74;89000020240000766001520240650495P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2551.98;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
75;89000020240000766001520240650496P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2551.98;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
76;89000020240000766001520240650497P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2551.98;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
77;89000020240000766001520240650498P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2895.93;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
78;89000020240000766001520240650499P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2912.45;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
79;89000020240000766001520240650500P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2912.45;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
80;89000020240000766001520240650501P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2912.45;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
81;89000020240000766001520240650502P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2912.45;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
82;89000020240000766001520240650503P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1951.95;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
