asset_id;intangible_asset_class;acquisition_capitalisation_date;initial_fair_value;cumulative_amortisation;impairment_amount;current_carrying_amount;Currency;original_accounting_life;remaining_economic_life;approach_det_carrying_amount;val_timestamp;internal_external_latest_val
221500001321;Unpatented software and technology;01/02/2019;7 973,86;-7 973,86;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001317;Unpatented software and technology;01/02/2019;73 822,00;-73 822,00;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001312;Unpatented software and technology;01/02/2019;23 333,24;-23 333,24;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002463;Unpatented software and technology;01/02/2019;19 729,46;-19 729,46;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001528;Unpatented software and technology;01/02/2019;19 554,49;-19 554,49;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002121;Unpatented software and technology;01/02/2019;17 671,05;-17 671,05;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002056;Unpatented software and technology;01/02/2019;4 778,03;-4 778,03;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002058;Unpatented software and technology;01/02/2019;1 061,02;-1 061,02;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002060;Unpatented software and technology;01/02/2019;4 339,72;-4 339,72;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002063;Unpatented software and technology;01/02/2019;1 307,21;-1 307,21;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002065;Unpatented software and technology;01/02/2019;9 906,50;-9 906,50;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001794;Unpatented software and technology;01/02/2019;19 328,77;-19 328,77;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001315;Unpatented software and technology;01/02/2019;25 064,42;-25 064,42;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002103;Unpatented software and technology;01/02/2019;5 850,90;-5 850,90;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
